"agency_id","agency_name","agency_url","agency_timezone","agency_lang","agency_phone"
1,"S-Bahn Berlin GmbH","http://www.s-bahn-berlin.de","Europe/Berlin","de",""
32,"Oberhavel Verkehrsgesellschaft mbH","https://www.ovg-online.de","Europe/Berlin","de",""
47,"Verkehrsbetriebe Brandenburg an der Havel GmbH","http://www.vbbr.de","Europe/Berlin","de",""
84,"Stadtverkehrsgesellschaft mbH Frankfurt (Oder)","http://www.svf-ffo.de","Europe/Berlin","de",""
92,"Havelbus Verkehrsgesellschaft mbH","http://www.havelbus.de","Europe/Berlin","de",""
93,"Uckermärkische Verkehrsgesellschaft mbH","http://www.wirbewegensie.de","Europe/Berlin","de",""
108,"DB Regio AG","http://www.bahn.de/brandenburg","Europe/Berlin","de",""
138,"Günter Anger Güterverkehrs GmbH & Co. Omnibusvermietung KG","http://www.anger-busvermietung.de","Europe/Berlin","de",""
150,"Verkehrsbetrieb Potsdam GmbH","http://www.vip-potsdam.de","Europe/Berlin","de",""
241,"Barnimer Busgesellschaft mbH","http://www.bbg-eberswalde.de","Europe/Berlin","de",""
246,"Verkehrsgesellschaft Teltow-Fläming mbH","http://www.vtf-online.de","Europe/Berlin","de",""
251,"Regionale Verkehrsgesellschaft Dahme-Spreewald mbH","http://www.rvs-lds.de","Europe/Berlin","de",""
341,"Verkehrsmanagement Elbe-Elster GmbH","http://www.verkehrsmanagement-elbeelster.de","Europe/Berlin","de",""
346,"Verkehrsgesellschaft Oberspreewald-Lausitz mbH","http://www.vgosl.de","Europe/Berlin","de",""
476,"Fritz Behrendt OHG","http://www.behrendt-touristik.de","Europe/Berlin","de",""
480,"Glaser","http://www.busreisen-glaser.de","Europe/Berlin","de",""
486,"Schöneicher Rüdersdorfer Straßenbahn GmbH","http://www.srs-tram.de","Europe/Berlin","de",""
487,"Strausberger Eisenbahn GmbH","http://www.strausberger-eisenbahn.de","Europe/Berlin","de",""
516,"Cottbusverkehr GmbH","http://www.cottbusverkehr.de","Europe/Berlin","de",""
566,"Busverkehr Oder-Spree GmbH","http://www.bos-fw.de","Europe/Berlin","de",""
596,"NEB Betriebsgesellschaft mbH","http://www.neb.de","Europe/Berlin","de",""
606,"A. Reich GmbH Busbetrieb","http://www.a-reich.com","Europe/Berlin","de",""
706,"Sabinchen Touristik GmbH","http://www.vbb.de/de/article/verkehrsunternehmen-im-vbb/sabinchen-touristik-gmbh/6613.html","Europe/Berlin","de",""
721,"Busverkehr Gerd Schmidt","http://www.fahrschuleschmidt.de","Europe/Berlin","de",""
726,"ORP Ostprignitz-Ruppiner Personennahverkehrsgesellschaft mbH","http://www.orp-busse.de","Europe/Berlin","de",""
731,"ODEG Ostdeutsche Eisenbahn GmbH","http://www.odeg.de","Europe/Berlin","de",""
751,"Hanseatische Eisenbahn","http://www.hanseatische-eisenbahn.de","Europe/Berlin","de",""
772,"DB Regio Bus Ost GmbH","https://www.dbregiobus-ost.de","Europe/Berlin","de",""
781,"Lange","http://www.lange-tours.de","Europe/Berlin","de",""
796,"Berliner Verkehrsbetriebe","http://www.bvg.de","Europe/Berlin","de",""
816,"prignitzbus","http://www.prignitz-bus.de","Europe/Berlin","de",""
841,"mobus Märkisch-Oderland Bus GmbH","http://www.mo-bus.de","Europe/Berlin","de","+493341-4494900"
846,"regiobus Potsdam Mittelmark GmbH","http://www.regiobus-pm.de","Europe/Berlin","de",""
856,"Mitteldeutsche Regiobahn","https://www.mitteldeutsche-regiobahn.de/","Europe/Berlin","",""
996,"Betreiber: ecoVista","https://www.ecovista.eu","Europe/Berlin","","+498218090050"

"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,1,1,1,1,1,0,0,20260430,20261212
2,0,0,0,0,0,0,0,20260430,20261212
3,1,1,1,1,1,0,0,20260430,20261212
4,0,0,0,0,0,0,0,20260430,20261212
5,0,0,0,0,0,0,0,20260430,20261212
6,0,0,0,0,0,0,0,20260430,20261212
7,0,0,0,0,0,0,0,20260430,20261212
8,0,0,0,0,0,0,0,20260430,20261212
9,0,0,0,0,0,0,0,20260430,20261212
10,1,1,1,0,1,0,0,20260430,20261212
11,0,0,0,0,0,0,1,20260430,20261212
12,0,0,0,0,0,0,0,20260430,20261212
13,0,0,0,0,0,0,0,20260430,20261212
14,0,0,0,0,0,0,0,20260430,20261212
15,0,0,0,0,0,0,0,20260430,20261212
16,0,1,1,0,0,0,0,20260430,20261212
17,1,1,1,0,0,0,0,20260430,20261212
18,0,0,0,0,0,0,0,20260430,20261212
19,0,0,0,0,0,0,0,20260430,20261212
20,1,1,1,1,1,0,0,20260430,20261212
21,0,0,0,0,0,0,0,20260430,20261212
22,0,0,0,0,0,1,1,20260430,20261212
23,0,1,1,1,1,0,0,20260430,20261212
24,0,0,0,0,0,0,0,20260430,20261212
25,0,0,0,0,0,0,0,20260430,20261212
26,0,0,0,0,0,0,0,20260430,20261212
27,0,0,0,0,0,0,0,20260430,20261212
28,0,0,0,0,0,0,0,20260430,20261212
29,0,0,0,0,0,0,0,20260430,20261212
30,0,0,0,0,0,0,0,20260430,20261212
31,0,0,0,0,0,0,0,20260430,20261212
32,1,1,1,1,1,0,0,20260430,20261212
33,0,0,0,0,0,0,0,20260430,20261212
34,0,1,0,1,0,0,0,20260430,20261212
35,0,0,0,0,0,0,0,20260430,20261212
36,0,0,0,0,0,0,0,20260430,20261212
37,1,1,1,1,1,0,0,20260430,20261212
38,0,0,0,0,0,1,0,20260430,20261212
39,0,0,0,0,0,1,0,20260430,20261212
40,0,0,0,0,0,0,0,20260430,20261212
41,0,0,0,0,0,1,1,20260430,20261212
42,0,0,0,0,0,0,0,20260430,20261212
43,0,0,0,0,0,1,1,20260430,20261212
44,1,1,1,1,1,0,0,20260430,20261212
45,0,0,0,0,0,1,1,20260430,20261212
46,1,1,1,1,1,0,0,20260430,20261212
47,0,0,0,0,0,0,0,20260430,20261212
48,0,0,0,0,0,0,0,20260430,20261212
49,0,0,0,0,0,0,0,20260430,20261212
50,0,0,0,0,0,0,0,20260430,20261212
51,0,0,0,0,0,0,0,20260430,20261212
52,0,0,0,0,0,0,0,20260430,20261212
53,0,0,0,0,0,0,0,20260430,20261212
54,1,1,1,1,1,0,0,20260430,20261212
55,0,0,0,0,0,0,0,20260430,20261212
56,1,1,1,1,1,0,0,20260430,20261212
57,0,0,0,0,0,0,0,20260430,20261212
58,1,1,1,1,1,0,0,20260430,20261212
59,1,1,1,1,1,0,0,20260430,20261212
60,0,0,0,0,0,0,0,20260430,20261212
61,1,1,1,1,1,0,0,20260430,20261212
62,0,0,0,0,0,0,0,20260430,20261212
63,0,0,0,0,0,0,0,20260430,20261212
64,0,0,0,0,0,0,0,20260430,20261212
65,0,0,0,0,0,0,0,20260430,20261212
66,0,0,0,0,0,1,0,20260430,20261212
67,0,0,0,0,0,0,0,20260430,20261212
68,0,0,0,0,0,0,0,20260430,20261212
69,0,0,0,0,0,0,0,20260430,20261212
70,0,0,0,0,0,0,0,20260430,20261212
71,1,1,1,1,1,0,0,20260430,20261212
72,0,1,1,1,1,0,0,20260430,20261212
73,0,0,0,0,0,0,0,20260430,20261212
74,0,0,0,0,0,0,0,20260430,20261212
75,0,0,0,0,0,0,0,20260430,20261212
76,0,0,0,0,0,0,0,20260430,20261212
77,0,0,0,0,0,0,0,20260430,20261212
78,0,0,0,0,0,0,0,20260430,20261212
79,0,0,0,0,0,0,0,20260430,20261212
80,0,0,0,0,0,0,0,20260430,20261212
81,1,1,1,1,1,0,0,20260430,20261212
82,0,0,0,0,0,0,0,20260430,20261212
83,0,0,0,0,0,0,0,20260430,20261212
84,0,0,0,0,0,0,0,20260430,20261212
85,0,0,0,0,0,0,0,20260430,20261212
86,0,0,0,0,0,0,0,20260430,20261212
87,0,0,0,0,0,0,0,20260430,20261212
88,0,0,0,0,0,0,0,20260430,20261212
89,0,0,0,0,0,0,0,20260430,20261212
90,1,1,1,1,1,0,0,20260430,20261212
91,0,0,0,0,0,0,0,20260430,20261212
92,0,0,0,0,0,0,0,20260430,20261212
93,0,0,0,0,0,0,0,20260430,20261212
94,0,0,0,0,0,0,0,20260430,20261212
95,1,1,1,1,1,0,0,20260430,20261212
96,0,0,0,0,0,0,0,20260430,20261212
97,1,1,1,1,1,0,0,20260430,20261212
98,0,0,0,0,0,0,0,20260430,20261212
99,0,0,0,0,0,0,0,20260430,20261212
100,0,0,0,0,0,0,0,20260430,20261212
101,0,0,0,0,0,0,0,20260430,20261212
102,0,0,0,0,0,0,0,20260430,20261212
103,1,1,1,1,1,0,0,20260430,20261212
104,0,0,0,0,0,0,0,20260430,20261212
105,0,0,0,0,0,0,0,20260430,20261212
106,0,0,0,0,0,0,0,20260430,20261212
107,0,0,0,0,0,0,0,20260430,20261212
108,0,0,0,0,0,0,0,20260430,20261212
109,1,1,1,1,1,0,0,20260430,20261212
110,1,1,1,1,1,1,0,20260430,20261212
111,1,1,1,1,1,1,1,20260430,20261212
112,1,1,1,1,1,1,1,20260430,20261212
113,1,1,1,1,1,1,1,20260430,20261212
114,1,1,1,1,1,1,1,20260430,20261212
115,0,0,0,0,0,1,1,20260430,20261212
116,0,0,0,0,0,0,0,20260430,20261212
117,0,0,0,0,0,0,1,20260430,20261212
118,0,0,0,0,0,0,0,20260430,20261212
119,0,0,0,0,0,0,0,20260430,20261212
120,1,1,1,1,1,0,0,20260430,20261212
121,0,0,0,0,0,0,0,20260430,20261212
122,1,1,1,1,1,1,0,20260430,20261212
123,0,0,0,0,0,0,0,20260430,20261212
124,0,0,0,0,0,0,1,20260430,20261212
125,0,0,0,0,0,0,0,20260430,20261212
126,1,1,1,1,1,1,1,20260430,20261212
127,0,0,0,0,0,0,0,20260430,20261212
128,0,0,0,0,0,0,0,20260430,20261212
129,1,1,1,1,1,0,1,20260430,20261212
130,0,0,0,0,0,0,0,20260430,20261212
131,1,1,1,1,1,1,1,20260430,20261212
132,0,0,0,0,0,0,0,20260430,20261212
133,1,1,1,1,1,1,1,20260430,20261212
134,0,0,0,0,0,0,0,20260430,20261212
135,1,1,1,1,1,1,1,20260430,20261212
136,0,0,0,0,0,0,0,20260430,20261212
137,1,1,1,1,1,1,0,20260430,20261212
138,0,0,0,0,0,0,0,20260430,20261212
139,0,0,0,0,0,1,1,20260430,20261212
140,0,0,0,0,0,0,1,20260430,20261212
141,1,1,1,1,1,1,1,20260430,20261212
142,1,1,1,1,1,1,1,20260430,20261212
143,1,1,1,1,1,1,1,20260430,20261212
144,0,0,0,0,0,0,0,20260430,20261212
145,0,0,0,0,0,0,0,20260430,20261212
146,0,0,0,0,1,1,0,20260430,20261212
147,1,1,1,1,0,0,1,20260430,20261212
148,0,0,0,0,0,0,0,20260430,20261212
149,0,0,0,0,0,1,1,20260430,20261212
150,0,0,0,0,0,0,0,20260430,20261212
151,1,1,1,1,1,1,1,20260430,20261212
152,1,1,1,1,1,0,0,20260430,20261212
153,1,1,1,1,1,0,0,20260430,20261212
154,1,1,1,1,1,1,1,20260430,20261212
155,1,1,1,1,1,0,0,20260430,20261212
156,1,1,1,1,1,1,1,20260430,20261212
157,0,0,0,0,0,0,0,20260430,20261212
158,1,1,1,1,1,1,1,20260430,20261212
159,0,0,0,0,0,0,0,20260430,20261212
160,0,0,0,0,0,0,0,20260430,20261212
161,1,1,1,1,1,1,1,20260430,20261212
162,0,0,0,0,0,0,0,20260430,20261212
163,1,1,1,1,1,1,1,20260430,20261212
164,1,1,1,1,1,1,1,20260430,20261212
165,0,0,0,0,0,1,1,20260430,20261212
166,1,1,1,1,1,0,0,20260430,20261212
167,1,1,1,1,1,1,1,20260430,20261212
168,0,0,0,0,0,0,0,20260430,20261212
169,1,1,1,1,1,1,1,20260430,20261212
170,0,0,0,0,0,0,0,20260430,20261212
171,1,1,1,1,1,1,1,20260430,20261212
172,0,0,0,0,0,0,0,20260430,20261212
173,0,0,0,0,0,0,0,20260430,20261212
174,0,0,0,0,0,1,1,20260430,20261212
175,1,1,1,1,1,0,0,20260430,20261212
176,1,1,1,1,1,1,1,20260430,20261212
177,0,0,0,0,0,0,0,20260430,20261212
178,0,0,0,0,0,0,0,20260430,20261212
179,1,1,1,1,1,1,1,20260430,20261212
180,1,1,1,1,1,1,1,20260430,20261212
181,0,0,0,0,0,1,1,20260430,20261212
182,1,1,1,1,1,0,0,20260430,20261212
183,1,1,1,1,1,0,0,20260430,20261212
184,0,0,0,0,0,0,0,20260430,20261212
185,1,1,1,1,1,0,0,20260430,20261212
186,0,0,0,0,0,0,0,20260430,20261212
187,0,0,0,0,0,0,0,20260430,20261212
188,1,1,1,1,1,1,1,20260430,20261212
189,1,1,1,1,1,0,0,20260430,20261212
